Variant_ID;Variant;Entity1_type;Disease_ID;Disease;Entity2_type;LADME
PA166185405;rs7606603;VARIANT;PA444552;HYPERTENSION;DISEASE;PD
PA166153578;rs581111;VARIANT;PA445043;OPIOID-RELATED DISORDERS;DISEASE;PD
PA166285101;rs6686529;VARIANT;PA166129521;SEDATION;DISEASE;PD
PA166156697;rs80143932;VARIANT;PA444760;LEUKEMIA, MYELOID, ACUTE;DISEASE;PD
PA166155963;rs6138150;VARIANT;PA443434;RHEUMATOID ARTHRITIS;DISEASE;PD
PA166199061;rs1446468;VARIANT;PA444552;HYPERTENSION;DISEASE;PD
PA166211543;rs36120609;VARIANT;PA443340;ANEMIA;DISEASE;
PA166211543;rs36120609;VARIANT;PA443937;DRUG TOXICITY;DISEASE;PD
PA166211543;rs36120609;VARIANT;PA445058;NEOPLASM METASTASIS;DISEASE;
PA166211543;rs36120609;VARIANT;PA445204;OVARIAN NEOPLASMS;DISEASE;
PA166211543;rs36120609;VARIANT;PA445601;OSTEOSARCOMA;DISEASE;
PA166211543;rs36120609;VARIANT;PA445846;THROMBOCYTOPENIA;DISEASE;
PA166211543;rs36120609;VARIANT;PA446975;NEUROTOXICITY SYNDROMES;DISEASE;
PA166154421;rs7124442;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166159131;rs1801157;VARIANT;PA446169;LEUKEMIA, LYMPHOCYTIC, CHRONIC, B-CELL;DISEASE;PD
PA166155329;rs17751934;VARIANT;PA445187;OSTEONECROSIS;DISEASE;PD
PA166154337;rs1799978;VARIANT;PA444460;HEROIN DEPENDENCE;DISEASE;PD
PA166154337;rs1799978;VARIANT;PA444545;HYPERPROLACTINEMIA;DISEASE;PD
PA166154337;rs1799978;VARIANT;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA166197661;rs34214870;VARIANT;PA446876;SUBSTANCE-RELATED DISORDERS;DISEASE;
PA166157694;rs770063251;VARIANT;PA443937;DRUG TOXICITY;DISEASE;
PA166157694;rs770063251;VARIANT;PA445062;NEOPLASMS;DISEASE;
PA166210044;rs6589386;VARIANT;PA443309;ALCOHOL ABUSE;DISEASE;PD
PA166319223;rs374527058;VARIANT;PA443937;DRUG TOXICITY;DISEASE;PD
PA166156528;rs1870377;VARIANT;PA166114377;HAND-FOOT SYNDROME;DISEASE;PD
PA166156528;rs1870377;VARIANT;PA444447;HEPATOCELLULAR CARCINOMA;DISEASE;PD
PA166156528;rs1870377;VARIANT;PA444552;HYPERTENSION;DISEASE;PD
PA166155680;rs2298771;VARIANT;PA444065;EPILEPSY;DISEASE;PD
PA166155733;rs4673993;VARIANT;PA443434;RHEUMATOID ARTHRITIS;DISEASE;PD
PA166160283;rs4643786;VARIANT;PA444760;LEUKEMIA, MYELOID, ACUTE;DISEASE;
PA166199721;rs147451859;VARIANT;PA443324;AMENORRHEA;DISEASE;PD
PA166157876;rs4825476;VARIANT;PA165374639;SUICIDE;DISEASE;PD
PA166157876;rs4825476;VARIANT;PA447278;DEPRESSION;DISEASE;PD
PA166154722;rs7984870;VARIANT;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA166156873;rs11960832;VARIANT;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA166183884;rs6473797;VARIANT;PA443309;ALCOHOL ABUSE;DISEASE;PD
PA166183884;rs6473797;VARIANT;PA444460;HEROIN DEPENDENCE;DISEASE;PD
PA166157742;rs2120266;VARIANT;PA444460;HEROIN DEPENDENCE;DISEASE;PD
PA166157742;rs2120266;VARIANT;PA445043;OPIOID-RELATED DISORDERS;DISEASE;PD
PA166156676;rs28365062;VARIANT;PA447230;HIV INFECTIOUS DISEASE;DISEASE;
PA166266704;rs1353327;VARIANT;PA162263533;NEPHROTOXICITY;DISEASE;PD
PA166154808;rs7142143;VARIANT;PA446155;ACUTE LYMPHOBLASTIC LEUKEMIA;DISEASE;PD
PA166157870;rs2497538;VARIANT;PA128406954;WEIGHT GAIN;DISEASE;PD
PA166157516;rs75527207;VARIANT;PA443829;CYSTIC FIBROSIS;DISEASE;PD
PA166154477;rs61886492;VARIANT;PA446155;ACUTE LYMPHOBLASTIC LEUKEMIA;DISEASE;PD
PA166339141;rs137852517;VARIANT;PA446481;KALLMANN SYNDROME;DISEASE;
PA166154936;rs12903202;VARIANT;PA445187;OSTEONECROSIS;DISEASE;PD
PA166155511;rs58425034;VARIANT;PA447230;HIV INFECTIONS;DISEASE;
PA166156794;rs2279020;VARIANT;PA444065;EPILEPSY;DISEASE;PD
PA166176935;rs10413455;VARIANT;PA447197;ATTENTION DEFICIT DISORDER WITH HYPERACTIVITY;DISEASE;PD
PA166155981;rs428785;VARIANT;PA443797;CORONARY DISEASE;DISEASE;PD
PA166155981;rs428785;VARIANT;PA445019;MYOCARDIAL INFARCTION;DISEASE;PD
PA166155715;rs3812718;VARIANT;PA444065;EPILEPSY;DISEASE;PD
PA166154316;rs1079598;VARIANT;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA166155327;rs16973410;VARIANT;PA447199;BIPOLAR DISORDER;DISEASE;PD
PA166154088;rs7912580;VARIANT;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA166163444;rs8450;VARIANT;PA134850491;TRANSPLANTATION;DISEASE;PD
PA166263684;rs55944529;VARIANT;PA444460;HEROIN DEPENDENCE;DISEASE;PD
PA166156018;rs74795342;VARIANT;PA447199;BIPOLAR DISORDER;DISEASE;PD
PA166157077;rs3734254;VARIANT;PA445425;PROSTATIC NEOPLASMS;DISEASE;PD
PA166197261;rs61826952;VARIANT;PA443309;ALCOHOL ABUSE;DISEASE;PD
PA166169975;rs2298881;VARIANT;PA445742;STOMACH NEOPLASMS;DISEASE;PD
PA166156966;rs992160;VARIANT;PA445218;PANCREATIC NEOPLASMS;DISEASE;PD
PA166157023;rs2227956;VARIANT;PA444065;EPILEPSY;DISEASE;PD
PA166156481;rs5522;VARIANT;PA444552;HYPERTENSION;DISEASE;PD
PA166154624;rs10878232;VARIANT;PA443622;NON-SMALL CELL LUNG CARCINOMA;DISEASE;PD
PA166154097;rs9332096;VARIANT;PA162316739;MACULOPAPULAR EXANTHEMA;DISEASE;PD
PA166154097;rs9332096;VARIANT;PA445941;TUBERCULOSIS;DISEASE;PD
PA166154121;rs10997242;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166157942;CYP2C19 ultrarapid metabolizer;VARIANT;PA445009;MYCOSES;DISEASE;
PA166156974;rs1059288;VARIANT;PA443450;ASTHMA;DISEASE;PD
PA166155970;rs117532069;VARIANT;PA445187;OSTEONECROSIS;DISEASE;PD
PA166155970;rs117532069;VARIANT;PA446155;ACUTE LYMPHOBLASTIC LEUKEMIA;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA162263525;NEUROPATHIC PAIN;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA165108809;NEONATAL ABSTINENCE SYNDROME;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA166115462;DRY MOUTH;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA166151827;ADVERSE EVENTS;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA166185626;SOMNOLENCE;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA166186039;SUICIDAL IDEATION;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA166232141;AMPLIFICATION OF SEXUAL BEHAVIOR;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA443309;ALCOHOL ABUSE;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA443602;MARIJUANA ABUSE;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA443782;CONSTIPATION;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA443851;DELIRIUM;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA443928;DIZZINESS;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA444083;ERYTHEMA;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA444365;CARDIAC ARREST;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA444460;HEROIN DEPENDENCE;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA445043;OPIOID-RELATED DISORDERS;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA445048;NAUSEA;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA445208;PAIN;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA445210;PAIN, POSTOPERATIVE;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA445437;PRURITUS;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA445522;RESPIRATORY INSUFFICIENCY;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA445687;SLEEP APNEA SYNDROMES;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA445689;SLEEP DISORDERS;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA445768;SUBSTANCE WITHDRAWAL SYNDROME;DISEASE;
PA166156991;rs1799971;VARIANT;PA445876;TOBACCO USE DISORDER;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA446051;VOMITING;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA446199;OVERDOSE;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA446264;URINARY RETENTION;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA446876;SUBSTANCE-RELATED DISORDERS;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA446878;COCAINE DEPENDENCE;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA446970;POSTOPERATIVE NAUSEA AND VOMITING;DISEASE;PD
PA166156991;rs1799971;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166252581;rs4149009;VARIANT;PA446155;ACUTE LYMPHOBLASTIC LEUKEMIA;DISEASE;
PA166157167;rs10305420;VARIANT;PA445131;OBESITY;DISEASE;PD
PA166157167;rs10305420;VARIANT;PA445376;POLYCYSTIC OVARY SYNDROME;DISEASE;PD
PA166161851;rs11126740;VARIANT;PA445451;PSORIASIS;DISEASE;PD
PA166196165;rs3781719;VARIANT;PA165108779;MIGRAINE DISORDER;DISEASE;PD
PA166185751;rs7041;VARIANT;PA446432;BETA-THALASSEMIA AND RELATED DISEASES;DISEASE;PD
PA166156705;rs686;VARIANT;PA445876;TOBACCO USE DISORDER;DISEASE;
PA166223623;rs78132896;VARIANT;PA444417;HEMORRHAGE;DISEASE;PD
PA166210023;rs62250713;VARIANT;PA443309;ALCOHOL ABUSE;DISEASE;PD
PA166154730;rs9315310;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166156621;rs7662029;VARIANT;PA445043;OPIOID-RELATED DISORDERS;DISEASE;PD
PA166154955;rs57064725;VARIANT;PA445876;TOBACCO USE DISORDER;DISEASE;
PA166176243;rs648893;VARIANT;PA445043;OPIOID-RELATED DISORDERS;DISEASE;PD
PA166176247;rs963549;VARIANT;PA444460;HEROIN DEPENDENCE;DISEASE;PD
PA166155396;rs2302948;VARIANT;PA444760;LEUKEMIA, MYELOID, ACUTE;DISEASE;PD
PA166154752;rs16965962;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166155464;rs12461964;VARIANT;PA445876;TOBACCO USE DISORDER;DISEASE;PD
PA166236541;rs745364489;VARIANT;PA443407;APNEA;DISEASE;PD
PA166156057;rs740603;VARIANT;PA165108809;NEONATAL ABSTINENCE SYNDROME;DISEASE;PD
PA166161186;rs77932196;VARIANT;PA443829;CYSTIC FIBROSIS;DISEASE;PD
PA166157371;rs2960436;VARIANT;PA445742;STOMACH NEOPLASMS;DISEASE;PD
PA166157083;rs3800373;VARIANT;PA447278;DEPRESSION;DISEASE;PD
PA166156997;rs1800629;VARIANT;PA164925725;TOXIC LIVER DISEASE;DISEASE;PD
PA166156997;rs1800629;VARIANT;PA165108401;ACUTE CORONARY SYNDROME;DISEASE;
PA166156997;rs1800629;VARIANT;PA165817016;KIDNEY TRANSPLANTATION;DISEASE;PD
PA166156997;rs1800629;VARIANT;PA166114377;HAND-FOOT SYNDROME;DISEASE;PD
PA166156997;rs1800629;VARIANT;PA443434;RHEUMATOID ARTHRITIS;DISEASE;PD
PA166156997;rs1800629;VARIANT;PA443622;NON-SMALL CELL LUNG CARCINOMA;DISEASE;PD
PA166156997;rs1800629;VARIANT;PA443815;CROHN DISEASE;DISEASE;PD
PA166156997;rs1800629;VARIANT;PA444447;HEPATOCELLULAR CARCINOMA;DISEASE;PD
PA166156997;rs1800629;VARIANT;PA444546;HYPERSENSITIVITY;DISEASE;PD
PA166156997;rs1800629;VARIANT;PA444620;INFLAMMATION;DISEASE;PD
PA166156997;rs1800629;VARIANT;PA444949;MIGRAINE WITHOUT AURA;DISEASE;PD
PA166156997;rs1800629;VARIANT;PA445451;PSORIASIS;DISEASE;PD
PA166156997;rs1800629;VARIANT;PA445724;SPONDYLITIS, ANKYLOSING;DISEASE;PD
PA166156997;rs1800629;VARIANT;PA445846;THROMBOCYTOPENIA;DISEASE;PD
PA166156997;rs1800629;VARIANT;PA445941;TUBERCULOSIS;DISEASE;PD
PA166156997;rs1800629;VARIANT;PA446198;ARTHRITIS, PSORIATIC;DISEASE;PD
PA166171088;rs3219489;VARIANT;PA166123026;PROGRESSION-FREE SURVIVAL;DISEASE;PD
PA166171088;rs3219489;VARIANT;PA443626;CARCINOMA, SQUAMOUS CELL;DISEASE;PD
PA166210045;rs8008020;VARIANT;PA443309;ALCOHOL ABUSE;DISEASE;PD
PA166161944;rs10485058;VARIANT;PA445043;OPIOID-RELATED DISORDERS;DISEASE;PD
PA166153847;rs12082710;VARIANT;PA447278;DEPRESSION;DISEASE;PD
PA166183707;rs609148;VARIANT;PA445043;OPIOID-RELATED DISORDERS;DISEASE;PD
PA166160689;rs320003;VARIANT;PA445941;TUBERCULOSIS;DISEASE;PD
PA166155481;rs28933396;VARIANT;PA444863;MALIGNANT HYPERTHERMIA;DISEASE;PD
PA166156751;rs1053129;VARIANT;PA445601;OSTEOSARCOMA;DISEASE;PD
PA166155535;rs118192167;VARIANT;PA444863;MALIGNANT HYPERTHERMIA;DISEASE;PD
PA166161126;rs3087465;VARIANT;PA446108;COLORECTAL NEOPLASMS;DISEASE;PD
PA166157431;rs7794356;VARIANT;PA443450;ASTHMA;DISEASE;PD
PA166154978;rs8832;VARIANT;PA443450;ASTHMA;DISEASE;PD
PA166153880;rs35687416;VARIANT;PA445218;PANCREATIC NEOPLASMS;DISEASE;PD
PA166184309;rs2636719;VARIANT;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA166156925;rs544093;VARIANT;PA445204;OVARIAN NEOPLASMS;DISEASE;PD
PA166154509;rs1051375;VARIANT;PA443796;CORONARY ARTERY DISEASE;DISEASE;PD
PA166154509;rs1051375;VARIANT;PA444552;HYPERTENSION;DISEASE;PD
PA166157531;rs121909005;VARIANT;PA443829;CYSTIC FIBROSIS;DISEASE;PD
PA166156088;rs2236624;VARIANT;PA166151827;ADVERSE EVENTS;DISEASE;PD
PA166156088;rs2236624;VARIANT;PA443434;RHEUMATOID ARTHRITIS;DISEASE;PD
PA166156710;rs7387;VARIANT;PA443434;RHEUMATOID ARTHRITIS;DISEASE;
PA166153683;rs2239622;VARIANT;PA444460;HEROIN DEPENDENCE;DISEASE;PD
PA166153683;rs2239622;VARIANT;PA445043;OPIOID-RELATED DISORDERS;DISEASE;PD
PA166155665;rs2070959;VARIANT;PA443756;COLONIC NEOPLASMS;DISEASE;PD
PA166155665;rs2070959;VARIANT;PA444065;EPILEPSY;DISEASE;PD
PA166155665;rs2070959;VARIANT;PA446108;COLORECTAL NEOPLASMS;DISEASE;PD
PA166157853;rs502434;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166155940;rs3787429;VARIANT;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA166155569;rs193922802;VARIANT;PA444863;MALIGNANT HYPERTHERMIA;DISEASE;PD
PA166176961;rs17279558;VARIANT;PA447197;ATTENTION DEFICIT DISORDER WITH HYPERACTIVITY;DISEASE;PD
PA166177137;rs12603700;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166177739;rs1799972;VARIANT;PA445043;OPIOID-RELATED DISORDERS;DISEASE;PD
PA166177739;rs1799972;VARIANT;PA446876;SUBSTANCE-RELATED DISORDERS;DISEASE;PD
PA166220461;rs3788853;VARIANT;PA443371;ANGIOEDEMA;DISEASE;PD
PA166156582;rs4148157;VARIANT;PA443557;BRAIN NEOPLASMS;DISEASE;
PA166307621;rs533334893;VARIANT;PA166307601;DUBIN-JOHNSON SYNDROME;DISEASE;
PA166307621;rs533334893;VARIANT;PA443937;DRUG TOXICITY;DISEASE;
PA166307621;rs533334893;VARIANT;PA446155;ACUTE LYMPHOBLASTIC LEUKEMIA;DISEASE;
PA166154110;rs10509681;VARIANT;PA443937;DRUG TOXICITY;DISEASE;
PA166180924;rs2303377;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166155853;rs17863778;VARIANT;PA444511;HYPERBILIRUBINEMIA;DISEASE;PD
PA166155853;rs17863778;VARIANT;PA447230;HIV INFECTIOUS DISEASE;DISEASE;PD
PA166153989;rs1937840;VARIANT;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA166259903;rs756770;VARIANT;PA445043;OPIOID-RELATED DISORDERS;DISEASE;PD
PA166164953;rs121909020;VARIANT;PA443829;CYSTIC FIBROSIS;DISEASE;PD
PA166210010;rs2582405;VARIANT;PA443309;ALCOHOL ABUSE;DISEASE;PD
PA166156949;rs761142;VARIANT;PA447230;HIV INFECTIOUS DISEASE;DISEASE;PD
PA166177180;rs12502866;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166154534;rs2239050;VARIANT;PA444552;HYPERTENSION;DISEASE;PD
PA166155966;rs17309872;VARIANT;PA443622;NON-SMALL CELL LUNG CARCINOMA;DISEASE;PD
PA166156367;rs2742423;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166157294;rs1419555;VARIANT;PA443450;ASTHMA;DISEASE;PD
PA166154552;rs2660845;VARIANT;PA443450;ASTHMA;DISEASE;PD
PA166154823;rs11623866;VARIANT;PA445204;OVARIAN NEOPLASMS;DISEASE;PD
PA166209221;rs1800035;VARIANT;PA445210;PAIN, POSTOPERATIVE;DISEASE;PD
PA166155271;rs520210;VARIANT;PA447278;DEPRESSION;DISEASE;PD
PA166178414;rs145623321;VARIANT;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA166178414;rs145623321;VARIANT;PA445113;NEUTROPENIA;DISEASE;PD
PA166178405;rs299314;VARIANT;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA166178405;rs299314;VARIANT;PA445113;NEUTROPENIA;DISEASE;PD
PA166155854;rs17863783;VARIANT;PA445062;NEOPLASMS;DISEASE;PD
PA166154304;rs964184;VARIANT;PA446120;HYPERTRIGLYCERIDEMIA;DISEASE;PD
PA166154507;rs1006737;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166157594;rs3780126;VARIANT;PA443622;NON-SMALL CELL LUNG CARCINOMA;DISEASE;PD
PA166157459;rs12720441;VARIANT;PA446294;TORSADES DE POINTES;DISEASE;PD
PA166319721;rs569661196;VARIANT;PA443937;DRUG TOXICITY;DISEASE;PD
PA166155371;rs1799793;VARIANT;PA166124223;PNEUMONITIS;DISEASE;PD
PA166155371;rs1799793;VARIANT;PA166151827;ADVERSE EVENTS;DISEASE;PD
PA166155371;rs1799793;VARIANT;PA443340;ANEMIA;DISEASE;PD
PA166155371;rs1799793;VARIANT;PA443622;NON-SMALL CELL LUNG CARCINOMA;DISEASE;PD
PA166155371;rs1799793;VARIANT;PA445062;NEOPLASMS;DISEASE;PD
PA166155371;rs1799793;VARIANT;PA445828;TESTICULAR NEOPLASMS;DISEASE;PD
PA166177793;rs10457090;VARIANT;PA445043;OPIOID-RELATED DISORDERS;DISEASE;PD
PA166161853;rs2546890;VARIANT;PA445451;PSORIASIS;DISEASE;PD
PA166337441;rs2229300;VARIANT;PA166123207;OVERALL SURVIVAL;DISEASE;
PA166337441;rs2229300;VARIANT;PA166127658;RECURRENCE FREE SURVIVAL;DISEASE;
PA166337441;rs2229300;VARIANT;PA444760;LEUKEMIA, MYELOID, ACUTE;DISEASE;
PA166157288;rs1128503;VARIANT;PA134850491;TRANSPLANTATION;DISEASE;PD
PA166157288;rs1128503;VARIANT;PA165817016;KIDNEY TRANSPLANTATION;DISEASE;PD
PA166157288;rs1128503;VARIANT;PA166122058;MUCOSITIS;DISEASE;PD
PA166157288;rs1128503;VARIANT;PA166123007;HEMATOPOIETIC STEM CELL TRANSPLANTATION;DISEASE;PD
PA166157288;rs1128503;VARIANT;PA166169457;TONSILLECTOMY;DISEASE;PD
PA166157288;rs1128503;VARIANT;PA443434;RHEUMATOID ARTHRITIS;DISEASE;PD
PA166157288;rs1128503;VARIANT;PA443512;URINARY BLADDER NEOPLASMS;DISEASE;
PA166157288;rs1128503;VARIANT;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA166157288;rs1128503;VARIANT;PA443622;NON-SMALL CELL LUNG CARCINOMA;DISEASE;PD
PA166157288;rs1128503;VARIANT;PA443624;RENAL CELL CARCINOMA;DISEASE;PD
PA166157288;rs1128503;VARIANT;PA443750;ULCERATIVE COLITIS;DISEASE;PD
PA166157288;rs1128503;VARIANT;PA444065;EPILEPSY;DISEASE;PD
PA166157288;rs1128503;VARIANT;PA444284;GLIOMA;DISEASE;
PA166157288;rs1128503;VARIANT;PA444460;HEROIN DEPENDENCE;DISEASE;PD
PA166157288;rs1128503;VARIANT;PA444516;HYPERCHOLESTEROLEMIA;DISEASE;PD
PA166157288;rs1128503;VARIANT;PA444591;HYPOVENTILATION;DISEASE;PD
PA166157288;rs1128503;VARIANT;PA444760;LEUKEMIA, MYELOID, ACUTE;DISEASE;PD
PA166157288;rs1128503;VARIANT;PA444840;LYMPHOMA;DISEASE;PD
PA166157288;rs1128503;VARIANT;PA445004;MYASTHENIA GRAVIS;DISEASE;PD
PA166157288;rs1128503;VARIANT;PA445042;NARCOLEPSY;DISEASE;PD
PA166157288;rs1128503;VARIANT;PA445043;OPIOID-RELATED DISORDERS;DISEASE;PD
PA166157288;rs1128503;VARIANT;PA445062;NEOPLASMS;DISEASE;
PA166157288;rs1128503;VARIANT;PA445089;NEPHROTIC SYNDROME;DISEASE;PD
PA166157288;rs1128503;VARIANT;PA445208;PAIN;DISEASE;PD
PA166157288;rs1128503;VARIANT;PA445210;PAIN, POSTOPERATIVE;DISEASE;PD
PA166157288;rs1128503;VARIANT;PA445301;PERIPHERAL NERVOUS SYSTEM DISEASES;DISEASE;PD
PA166157288;rs1128503;VARIANT;PA445601;OSTEOSARCOMA;DISEASE;PD
PA166157288;rs1128503;VARIANT;PA446108;COLORECTAL NEOPLASMS;DISEASE;PD
PA166157288;rs1128503;VARIANT;PA446155;ACUTE LYMPHOBLASTIC LEUKEMIA;DISEASE;PD
PA166157288;rs1128503;VARIANT;PA446171;CHRONIC MYELOGENOUS LEUKEMIA, BCR-ABL1 POSITIVE;DISEASE;PD
PA166157288;rs1128503;VARIANT;PA446975;NEUROTOXICITY SYNDROMES;DISEASE;PD
PA166157288;rs1128503;VARIANT;PA447198;AUTISM;DISEASE;PD
PA166157288;rs1128503;VARIANT;PA447230;HIV INFECTIOUS DISEASE;DISEASE;
PA166157288;rs1128503;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166155845;rs17587100;VARIANT;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA166178427;rs112783657;VARIANT;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA166178427;rs112783657;VARIANT;PA445113;NEUTROPENIA;DISEASE;PD
PA166161290;rs1124491;VARIANT;PA447215;PSYCHOTIC DISORDER;DISEASE;PD
PA166155974;rs20572;VARIANT;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA166160547;rs3213094;VARIANT;PA445451;PSORIASIS;DISEASE;PD
PA166155475;rs28399454;VARIANT;PA447230;HIV INFECTIOUS DISEASE;DISEASE;
PA166319662;rs140989814;VARIANT;PA443937;DRUG TOXICITY;DISEASE;PD
PA166155176;rs1051640;VARIANT;PA162263534;OTOTOXICITY;DISEASE;PD
PA166155176;rs1051640;VARIANT;PA443937;DRUG TOXICITY;DISEASE;PD
PA166155176;rs1051640;VARIANT;PA445062;NEOPLASMS;DISEASE;PD
PA166179462;rs10759637;VARIANT;PA166123207;OVERALL SURVIVAL;DISEASE;PD
PA166179462;rs10759637;VARIANT;PA445846;THROMBOCYTOPENIA;DISEASE;PD
PA166154334;rs1799732;VARIANT;PA166123368;SCHIZOAFFECTIVE DISORDER;DISEASE;
PA166154334;rs1799732;VARIANT;PA443309;ALCOHOL ABUSE;DISEASE;PD
PA166154334;rs1799732;VARIANT;PA445254;PARKINSON DISEASE;DISEASE;PD
PA166154334;rs1799732;VARIANT;PA445876;TOBACCO USE DISORDER;DISEASE;PD
PA166154334;rs1799732;VARIANT;PA447215;PSYCHOTIC DISORDER;DISEASE;PD
PA166154334;rs1799732;VARIANT;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA166157331;rs2227983;VARIANT;PA443622;NON-SMALL CELL LUNG CARCINOMA;DISEASE;PD
PA166157331;rs2227983;VARIANT;PA444352;HEAD AND NECK NEOPLASMS;DISEASE;PD
PA166157331;rs2227983;VARIANT;PA445062;NEOPLASMS;DISEASE;PD
PA166157331;rs2227983;VARIANT;PA445218;PANCREATIC NEOPLASMS;DISEASE;PD
PA166157331;rs2227983;VARIANT;PA446108;COLORECTAL NEOPLASMS;DISEASE;PD
PA166157529;rs121908755;VARIANT;PA443829;CYSTIC FIBROSIS;DISEASE;PD
PA166155635;rs1402467;VARIANT;PA445425;PROSTATIC NEOPLASMS;DISEASE;PD
PA166157329;rs2227631;VARIANT;PA447321;MAJOR DEPRESSIVE DISORDER;DISEASE;PD
PA166184317;rs785423;VARIANT;PA447216;SCHIZOPHRENIA;DISEASE;PD
PA166157053;rs2844665;VARIANT;PA166120929;SEVERE CUTANEOUS ADVERSE REACTIONS;DISEASE;PD
PA166157053;rs2844665;VARIANT;PA444059;EPIDERMAL NECROLYSIS, TOXIC;DISEASE;PD
PA166157053;rs2844665;VARIANT;PA445738;STEVENS-JOHNSON SYNDROME;DISEASE;PD
PA166154632;rs11045872;VARIANT;PA446155;ACUTE LYMPHOBLASTIC LEUKEMIA;DISEASE;
PA166178049;rs121909019;VARIANT;PA443829;CYSTIC FIBROSIS;DISEASE;PD
PA166153760;rs3918290;VARIANT;PA445062;NEOPLASMS;DISEASE;PD
PA166156820;rs3846662;VARIANT;PA443635;CARDIOVASCULAR DISEASE;DISEASE;
PA166156110;rs4823613;VARIANT;PA133888799;ORGAN TRANSPLANTATION;DISEASE;
PA166156979;rs1143684;VARIANT;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA166156411;rs6785049;VARIANT;PA165817398;MYELOSUPPRESSION;DISEASE;PD
PA166156411;rs6785049;VARIANT;PA166124386;GASTROINTESTINAL TOXICITY;DISEASE;PD
PA166156411;rs6785049;VARIANT;PA443512;URINARY BLADDER NEOPLASMS;DISEASE;PD
PA166156411;rs6785049;VARIANT;PA445062;NEOPLASMS;DISEASE;PD
PA166156513;rs1449683;VARIANT;PA447207;DEPRESSIVE DISORDER;DISEASE;PD
PA166185728;rs1567817380;VARIANT;PA447130;MYOTONIC DISORDERS;DISEASE;PD
PA166178399;rs150688309;VARIANT;PA443560;BREAST NEOPLASMS;DISEASE;PD
PA166178399;rs150688309;VARIANT;PA445113;NEUTROPENIA;DISEASE;PD
